"-- Please Select --","-- Bitte wählen --"
"Account Settings",Kontoeinstellungen
Actions,Aktionen
"Basic Setup",Grundkonfiguration
"Deutsche Post & Magento","Deutsche Post & Magento"
"Deutsche Post Internetmarke","Deutsche Post Internetmarke"
"Email Address",E-Mail-Adresse
"Failed to update page formats: %1","Druckformate konnten nicht aktualisiert werden: %1"
"Failed to update product lists: %1","Produktlisten konnten nicht aktualisiert werden: %1"
"Page Format",Druckformat
"Page formats are available.","Druckformate sind verfügbar"
"Page formats were successfully updated.","Druckformate wurden erfolgreich aktualisiert."
Password,Passwort
"Please complete your account settings (wallet credentials) to proceed.","Bitte vervollständigen Sie ihre Kontoeinstellungen (Zugangsdaten Portokosse), um fortzufahren."
"Please update page formats in the module configuration.","Bitte aktualisieren Sie die Druckformate in der Modulkonfiguration."
"Please update page formats.","Bitte aktualisieren Sie die Druckformate."
"Please update shipping products in the module configuration.","Bitte aktualisieren Sie die Versandprodukte in der Modulkonfiguration."
"Please update shipping products.","Bitte aktualisieren Sie die Versandprodukte."
"Portokasse Credentials: Email Address","Portokasse Zugangsdaten: E-Mail-Adresse"
"Portokasse Credentials: Password","Portokasse Zugangsdaten: Passwort"
"Product list is available.","Produktliste ist verfügbar."
"Product lists were successfully updated.","Produktlisten wurde erfolgreich aktualisiert."
"Select a page format for shipping labels. Page formats marked with (A) print addresses.","Wählen Sie ein Druckformat für Versandetiketten. Druckformate, die mit (A) gekennzeichnet sind, können Adressen darstellen."
"Standard Formats",Standardformate
"To get started, shipping label formats and shipping products must be imported.","Um zu beginnen, müssen Druckformate und Versandprodukte abgerufen werden."
"Update Page Formats","Druckformate aktualisieren"
"Update Product List","Produktliste aktualisieren"
"Voucher %1 could not be cancelled: %2","Das Label %1 konnte nicht storniert werden: %2"
